index,review,review_date,hotelName,hotelUrl
0,"We were at the Hyatt for a conference at the Hyatt. Other than that it was near the elevators, the room was perfect. The hotel provided a lot of assistants for helping conference attendees find rooms and other venues. While always a bustling den of activity, everything was fast. I couldn't believe how quickly they fed so many people at the buffet lunch or how many they could get up and down stairs so quickly. They have created many great nooks for hanging out or working downstairs. The workout area has many treadmills, but nothing else other than a fabulous view. On the negative side: I do not love exorbitantly priced food (water for over $8) being placed in front of me in the room, tempting me to spend unreasonable amounts on items I could grab with a two minute walk downstairs.",12-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
1,"Chicago & Hyatt helped us get a fresh start on the school year. This location is within walking distance to parks, eateries, entertainment if you feel the need to leave. It has many sitting recharging stations. A true home away from home!!",12-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
2,Stayed at the Hyatt Regency Chicago and it was a wonderful stay. The room was on the 30th level and was super quite and great for a business trip. Hotel is close to many attractions and fantastic restaurants within walking distance.,12-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
3,"Offers Excellent location, clean, well staffed, excellent security, exceptional bell staff with good solo dining/bar options. Convenient to Riverwalk, tours, shopping, restaurants, and more. Will stay again",12-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
4,"Great location right on the river walk and a block from Michigan Ave. Clean comfortable room. Getting a room with the city view is definitely worth it. A gift shop, marketplace and several restaurants on site. Would definitely stay again. ",12-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
5,Spent four nights there with my family. Could not ask for a better location. It was tough to swallow paying $70 a day to park but overall was a good value for the nice room and location. Staff was also extremely nice.,11-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
6,Hotel is beautiful and very lively. The Mexican restaurant was closed most of the time and the game area for the kids never had the games out when we were there. Other than that it was awesome.WE love that theres a 24hr store/ cafe that has quality food & a starbucks drink menu! We always stay at Hyatts! They are the best !,11-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
7,Loved the location and the view and was very pleased with the property and all the amenities. Reserved a king room and upgraded to a Jr suite view room and we were not disappointed. We checked-in to room 2427 in the West Tower facing the River.The room was basically the size of two normal rooms. It had a bedroom area and a living room of equal size.I liked the large seating areas where we were able to gather our luggage after we checked out and prepare for departure. Great restaurants and really enjoyed the Big Bar. Didn't care for the mini-bar/snack bar with the pressure sensitive pads where the slightest bump triggers an automated purchase.The sliding door to the bathroom was a bit heavy for my wife pull open especially with the tiny handle on the inside.I did appreciated the double-door entry and matching sconce lighting. ,10-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
8,We stayed for a weekend and the hotel was great. Had all we needed and more. We travelled with our two daughters and it was great. Excellent location and amenities. Bar and restaurant were second to none and the gran and go was great as well. ,10-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
9,"This was my third time staying at this Hyatt and I was again very impressed with the service and quality of the hotel and all of its amenities. The friendliest and most helpful staff I have ever seen, and they go out of their way to make sure everything is just perfect. This was my first time eating at the restaurants in the hotel and I must say I was very surprised to find that the food in all of the restaurants was AMAZING !! I never would have expected such high quality products, genuine home cooking taste, and great portions for very reasonable prices. I especially enjoyed the Walleye Tacos and the chicken wings. Both utterly delicious. The taco bar in the ""Living Room Lounge"" of the West tower is also a must !! You will not be disappointed eating in at this hotel.",10-Jul-19,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html
